year,week,fin_mark,catch,catch_original,notes
2020,41,AD,0,NA,NA
2020,41,UM,0,NA,NA
2020,42,AD,6,6,NA
2020,42,UM,5,5,NA
2020,43,AD,0,NA,NA
2020,43,UM,0,NA,NA
2020,44,AD,0,NA,NA
2020,44,UM,0,NA,NA
2020,45,AD,0,NA,NA
2020,45,UM,0,NA,NA
2020,46,AD,0,NA,NA
2020,46,UM,0,NA,NA
2021,29,AD,0,NA,NA
2021,29,UM,0,NA,NA
2021,30,AD,0,NA,NA
2021,30,UM,0,NA,NA
2021,31,AD,0,NA,NA
2021,31,UM,0,NA,NA
2021,32,AD,0,NA,NA
2021,32,UM,0,NA,NA
2021,33,AD,0,NA,NA
2021,33,UM,0,NA,NA
2021,34,AD,0,NA,NA
2021,34,UM,0,NA,NA
2021,35,AD,668,668,NA
2021,35,UM,84,84,NA
2021,36,AD,696,696,NA
2021,36,UM,103,103,NA
2021,37,AD,523,523,NA
2021,37,UM,107,107,NA
2021,38,AD,0,NA,NA
2021,38,UM,0,NA,NA
2021,39,AD,0,NA,NA
2021,39,UM,0,NA,NA
2021,40,AD,0,NA,NA
2021,40,UM,0,NA,NA
2021,41,AD,122,122,NA
2021,41,UM,34,34,NA
2021,42,AD,14,14,NA
2021,42,UM,2,2,NA
2021,43,AD,3,3,NA
2021,43,UM,1,1,NA
2021,44,AD,0,NA,NA
2021,44,UM,0,NA,NA
2021,45,AD,0,NA,NA
2021,45,UM,0,NA,NA
2021,46,AD,0,NA,NA
2021,46,UM,0,NA,NA
2022,29,AD,0,NA,NA
2022,29,UM,0,NA,NA
2022,30,AD,0,NA,NA
2022,30,UM,0,NA,NA
2022,31,AD,0,NA,NA
2022,31,UM,0,NA,NA
2022,32,AD,0,NA,NA
2022,32,UM,0,NA,NA
2022,33,AD,44,44,NA
2022,33,UM,3,3,NA
2022,34,AD,99,99,NA
2022,34,UM,30,30,NA
2022,35,AD,238,238,NA
2022,35,UM,51,51,NA
2022,36,AD,599,599,NA
2022,36,UM,116,116,NA
2022,37,AD,0,NA,NA
2022,37,UM,0,NA,NA
2022,38,AD,0,NA,NA
2022,38,UM,0,NA,NA
2022,39,AD,0,NA,NA
2022,39,UM,0,NA,NA
2022,40,AD,0,NA,NA
2022,40,UM,0,NA,NA
2022,41,AD,256,256,NA
2022,41,UM,35,35,NA
2022,42,AD,46,46,NA
2022,42,UM,4,4,NA
2022,43,AD,2,2,NA
2022,43,UM,0,0,NA
2022,44,AD,1,1,NA
2022,44,UM,0,0,NA
2022,45,AD,1,1,NA
2022,45,UM,0,0,NA
2022,46,AD,0,NA,NA
2022,46,UM,0,NA,NA
2023,29,AD,0,NA,NA
2023,29,UM,0,NA,NA
2023,30,AD,0,NA,NA
2023,30,UM,0,NA,NA
2023,31,AD,0,NA,NA
2023,31,UM,0,NA,NA
2023,32,AD,48,48,NA
2023,32,UM,8,8,NA
2023,33,AD,110,110,NA
2023,33,UM,15,15,NA
2023,34,AD,387,387,NA
2023,34,UM,55,55,NA
2023,35,AD,536,536,NA
2023,35,UM,92,92,NA
2023,36,AD,679,679,NA
2023,36,UM,150,150,NA
2023,37,AD,189,189,drift gill net
2023,37,UM,32,32,drift gill net
2023,38,AD,99,99,drift gill net
2023,38,UM,29,29,drift gill net
