interview_id,life_stage,fin_mark,event_date,year,month,fishing_duration_minutes,angler_count,angler_minutes,trip_status,trip_guided,boat_type,boat_used,fishing_start_time,fishing_end_time,fish_count,had.ad,had.um,had.release,had.kept,um_total,ad_total,doy,yearfac,round_cat1,round_cat2,interview_id_fac,mark_stage,fishing_med_hrs,fishing_start_hrs
4FBC4813-8FD8-4A82-A15F-935A3AC04731,Adult,AD,2023-09-02,2023,9,118,2,236,Complete,NA,NA,No,15:30:00,17:28:00,0,FALSE,FALSE,FALSE,FALSE,0,0,245,2023,NA,NA,4FBC4813-8FD8-4A82-A15F-935A3AC04731,AD X Adult,16.483333333333334,15.5
4FBC4813-8FD8-4A82-A15F-935A3AC04731,Adult,UM,2023-09-02,2023,9,118,2,236,Complete,NA,NA,No,15:30:00,17:28:00,0,FALSE,FALSE,FALSE,FALSE,0,0,245,2023,NA,NA,4FBC4813-8FD8-4A82-A15F-935A3AC04731,UM X Adult,16.483333333333334,15.5
4FBC4813-8FD8-4A82-A15F-935A3AC04731,Jack,AD,2023-09-02,2023,9,118,2,236,Complete,NA,NA,No,15:30:00,17:28:00,0,FALSE,FALSE,FALSE,FALSE,0,0,245,2023,NA,NA,4FBC4813-8FD8-4A82-A15F-935A3AC04731,AD X Jack,16.483333333333334,15.5
4FBC4813-8FD8-4A82-A15F-935A3AC04731,Jack,UM,2023-09-02,2023,9,118,2,236,Complete,NA,NA,No,15:30:00,17:28:00,0,FALSE,FALSE,FALSE,FALSE,0,0,245,2023,NA,NA,4FBC4813-8FD8-4A82-A15F-935A3AC04731,UM X Jack,16.483333333333334,15.5
4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,Adult,AD,2021-08-26,2021,8,390,1,390,Complete,NA,NA,No,06:00:00,12:30:00,0,FALSE,FALSE,FALSE,FALSE,0,0,238,2021,NA,NA,4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,AD X Adult,9.25,6
4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,Adult,UM,2021-08-26,2021,8,390,1,390,Complete,NA,NA,No,06:00:00,12:30:00,0,FALSE,FALSE,FALSE,FALSE,0,0,238,2021,NA,NA,4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,UM X Adult,9.25,6
4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,Jack,AD,2021-08-26,2021,8,390,1,390,Complete,NA,NA,No,06:00:00,12:30:00,0,FALSE,FALSE,FALSE,FALSE,0,0,238,2021,NA,NA,4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,AD X Jack,9.25,6
4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,Jack,UM,2021-08-26,2021,8,390,1,390,Complete,NA,NA,No,06:00:00,12:30:00,0,FALSE,FALSE,FALSE,FALSE,0,0,238,2021,NA,NA,4FCED5FC-26B4-4C00-8ACB-7B50A3A23EFB,UM X Jack,9.25,6
4FCF1517-752D-4065-864F-63D3DE9A7B3F,Adult,AD,2021-09-17,2021,9,180,1,180,Complete,NA,NA,No,12:00:00,15:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,260,2021,NA,NA,4FCF1517-752D-4065-864F-63D3DE9A7B3F,AD X Adult,13.5,12
4FCF1517-752D-4065-864F-63D3DE9A7B3F,Adult,UM,2021-09-17,2021,9,180,1,180,Complete,NA,NA,No,12:00:00,15:00:00,0,FALSE,FALSE,FALSE,FALSE,0,0,260,2021,NA,NA,4FCF1517-752D-4065-864F-63D3DE9A7B3F,UM X Adult,13.5,12
