X2.5.,X10.,X50.,X90.,X97.5.,freq_significant
-19.97153362661788,-17.5636990957844,-0.4054651081058301,1.224187572330726,2.117721022749783,0.06542056074766354
-20.259215699070577,-18.006452721928458,-0.40546510810539926,1.2777428230615244,1.8783538145282117,0.06542056074766354
-20.06503029605801,-17.709961328849882,-0.4054651081053994,1.098612288665142,2.009254452013041,0.08878504672897196
-20.259215699070594,-17.729680942727985,-0.2707986411959531,1.2186098535763454,2.0358780399118435,0.09345794392523364
-20.259215699070616,-18.02108977073697,-0.28768207245157973,1.1095225819188799,2.1972245773321455,0.09813084112149532
-19.97153362661945,-17.716720843383747,-0.23722898979676044,1.386294361119687,2.4849066497848273,0.0794392523364486
-20.25921569906956,-17.649777777988938,-0.3080930697109675,1.0986122886679675,1.9997338427426792,0.0911214953271028
-20.259215707224044,-18.086851040794713,-0.40546510810816383,1.2757884187571629,2.171749855943969,0.102803738317757
-19.56606851851242,-17.87292132930493,-0.40038892168907,1.3862943611179628,2.1177210227497816,0.09345794392523364
-19.742641881569206,-17.91298075512109,-0.40546510810539893,1.0986122886651417,1.9683328322874885,0.06074766355140187
-19.971533626617298,-17.761880150403087,-0.4054651081053998,1.2574874755840564,2.1972245658736163,0.07009345794392523
-20.065030300231303,-18.18130126320272,-0.2938933324520237,1.2039728043240685,2.117721028265956,0.09345794392523364
-19.97153362661721,-17.493559634290214,-0.18232155679289863,1.098612288667967,2.0794415416794307,0.07242990654205607
-20.25921569906995,-17.729680942728987,-0.4054651081053999,1.386294361119686,2.484906648776062,0.08878504672897196
-20.13614865814925,-17.82208135904074,-0.32696323370119273,1.2743142142809134,2.0794415416794285,0.07009345794392523
-19.56606851851258,-17.649777777988774,-0.2513144282800076,1.3862943611194862,2.197224565873615,0.07009345794392523
-20.065030300166963,-17.80620420344126,-0.405465108107962,1.386294361117963,2.1972245773302834,0.08411214953271028
-20.390991856788187,-18.00645272192847,-0.40546510810539793,0.9808292530099103,1.8035789535835525,0.08878504672897196
-19.9715336266186,-18.181301263201668,-0.40546510810816366,1.16047215585822,2.0149030205422633,0.09579439252336448
-19.971533626618783,-18.006452721929794,-0.40546510810816383,1.0986122886679066,2.105455421673388,0.09813084112149532
-19.63859017268777,-17.986733108053045,-0.37096867236329584,1.0986122886651428,1.7917594692258492,0.07710280373831775
-20.076894142276316,-17.87292132930308,-0.2876820724530622,1.1720242498692706,2.197224577330285,0.08411214953271028
-19.971533621656178,-18.00645272192848,-0.4054651081079628,1.3862943611179632,2.302585092993842,0.07242990654205607
-20.005775794207587,-18.342924958549556,-0.4054651081053994,1.29928298412941,2.484906649784828,0.10747663551401869
-19.659565199359704,-17.670475639435715,-0.40546510810796255,1.1179738450084664,1.945910149053709,0.0630841121495327
-20.390991856787725,-17.75513829364715,-0.29389333245115756,1.3060248408847102,2.3025850929938425,0.09579439252336448
-19.566068518510658,-17.718770649474706,-0.33248815179662106,1.1678020657640147,2.0794415406687965,0.053738317757009345
-20.259215699068722,-17.604600814841152,-0.36568419669127705,1.3862943611179632,2.302585092993908,0.0794392523364486
-19.971533621826804,-17.68138593268626,-0.28768206943932473,1.2928223862808568,2.0604261997250206,0.07476635514018691
-19.97153362182539,-17.670475639435335,-0.32331358246295105,1.098612288665142,1.817773349220901,0.06775700934579439
-19.971533626728174,-17.899024744215055,-0.25131442827910877,1.2063632552196673,2.2314667449203194,0.0911214953271028
-20.065030300165823,-17.729680942727626,-0.2694982473530896,1.1095225819188799,2.035878039911844,0.0794392523364486
-19.60031068610126,-18.006452721928873,-0.4054651081079619,1.3862943611194867,2.3618395989509118,0.08411214953271028
-19.97153362661984,-17.55446759818381,-0.182321556793759,1.386294361119686,2.3664942622172296,0.07710280373831775
-19.892030077549272,-17.71877064947663,-0.40546510810539976,1.2186098535762,2.079441541679429,0.07710280373831775
-19.89203007524369,-17.662024376344686,-0.2876820724515786,1.160472155858083,2.0927086898986413,0.09345794392523364
-19.8920300809133,-17.649777777990106,-0.4054651081079627,1.1862503387352346,2.07944154167943,0.05841121495327103
-20.136148648233828,-17.87292132930503,-0.40546510810539854,1.098612288667907,1.9213619892394487,0.08411214953271028
-19.971533627252978,-17.98673310805033,-0.4054651081080631,0.9954663022615393,1.989307851657067,0.102803738317757
-19.97153362661776,-18.06283822849266,-0.3566749439376859,1.0986122886679075,2.2314667449241843,0.07710280373831775
-19.89203007128789,-17.670475639435182,-0.28768207245219485,1.098612288665142,2.138491892350115,0.05841121495327103
-19.971533626617866,-17.872921329302514,-0.34880076422526907,1.2273056175671133,1.9894282990550889,0.08177570093457943
-20.169082009048687,-18.16060340175585,-0.38017796512889346,1.098612288667907,2.0794415416794285,0.07710280373831775
-20.065030300164594,-18.006452719859805,-0.4054651081081637,1.0986122886679075,2.0794415406687956,0.08878504672897196
-20.005775792075827,-17.872921329306568,-0.4054651081053982,1.3862943611196865,2.6614800128464697,0.08878504672897196
-19.81018709040153,-17.790473208666228,-0.2876820724504908,1.3862943611170393,2.117721022749783,0.07710280373831775
-19.566068518511052,-17.649777777989193,-0.2876820724515785,1.0986122886651426,2.045878828975376,0.053738317757009345
-19.566068518511997,-17.755138293646155,-0.18232155679383083,1.0986122886679073,2.197224577332197,0.06542056074766354
-19.892030075161767,-17.806204203442675,-0.4054651081076426,1.3862943611195462,2.351375257159109,0.08177570093457943
-19.971533621827056,-17.718770649475402,-0.38017796512889357,1.3862943611194862,2.197224565875475,0.07476635514018691
-19.971533626616498,-17.89902474240072,-0.28768206642707117,1.0986122886679075,1.8177733492210018,0.0794392523364486
-19.56606851851183,-17.649777777988803,-0.3373990209467641,1.2186098535763454,2.1972245773321966,0.07009345794392523
